Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+0480; C; U+0481; # CYRILLIC CAPITAL LETTER KOPPA
U+048A; C; U+048B; # CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
U+048C; C; U+048D; # CYRILLIC CAPITAL LETTER SEMISOFT SIGN
U+048E; C; U+048F; # CYRILLIC CAPITAL LETTER ER WITH TICK
U+0490; C; U+0491; # CYRILLIC CAPITAL LETTER GHE WITH UPTURN
U+0492; C; U+0493; # CYRILLIC CAPITAL LETTER GHE WITH STROKE
U+0494; C; U+0495; # CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
U+0496; C; U+0497; # CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
U+0498; C; U+0499; # CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
U+049A; C; U+049B; # CYRILLIC CAPITAL LETTER KA WITH DESCENDER
